! (C) Copyright TOSHIBA CORPORATION 2016
! Date: 		2003-01-20
! Part Number: 		2SK3475
! Model:		RF-MOSFET


!          2SK3475         20030120

VAR        vds = 3.0

VAR        id = 0.010

!          REM     DATA    NUMBER = 1

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.968   -27.0   4.995   153.3  0.0442    63.7   0.763   -37.0

  100000000  0.903   -50.1   4.237   130.7  0.0750    42.1   0.761   -67.0

  150000000  0.846   -68.0   3.484   112.7  0.0928    25.0   0.764   -88.9

  200000000  0.811   -82.1   2.835    99.2  0.0992    11.5   0.772  -104.6

  250000000  0.794   -93.3   2.379    87.3  0.1034     0.9   0.785  -116.2

  300000000  0.789  -102.6   1.982    77.1  0.1024    -8.8   0.798  -124.9

  350000000  0.791  -110.5   1.684    68.1  0.0998   -16.1   0.812  -131.9

  400000000  0.797  -117.1   1.424    59.9  0.0973   -23.0   0.825  -137.6

  450000000  0.804  -123.0   1.219    53.5  0.0929   -29.2   0.837  -142.4

  500000000  0.812  -128.3   1.063    47.1  0.0886   -34.0   0.848  -146.6

  550000000  0.821  -132.9   0.922    41.0  0.0848   -38.7   0.858  -150.2

  600000000  0.829  -137.2   0.800    36.0  0.0806   -43.0   0.867  -153.4

  650000000  0.837  -141.0   0.702    31.9  0.0766   -46.9   0.875  -156.3

  700000000  0.846  -144.5   0.623    28.2  0.0729   -50.6   0.882  -158.9

  750000000  0.852  -147.7   0.559    24.8  0.0691   -54.4   0.888  -161.4

  800000000  0.858  -150.6   0.508    21.7  0.0646   -57.7   0.894  -163.6

  850000000  0.863  -153.4   0.464    17.9  0.0603   -59.7   0.898  -165.7

  900000000  0.868  -155.9   0.421    14.5  0.0571   -61.5   0.903  -167.6

  950000000  0.873  -158.2   0.385    11.3  0.0542   -63.2   0.907  -169.5

 1000000000  0.878  -160.4   0.352     8.0  0.0519   -64.8   0.910  -171.2

 1050000000  0.881  -162.5   0.321     5.3  0.0495   -67.1   0.913  -172.8

 1100000000  0.885  -164.5   0.296     2.7  0.0468   -68.9   0.916  -174.4

 1150000000  0.889  -166.3   0.272     0.4  0.0444   -70.1   0.918  -175.9

 1200000000  0.891  -168.2   0.252    -1.8  0.0422   -71.4   0.921  -177.3

 1250000000  0.894  -169.9   0.233    -3.9  0.0402   -72.4   0.923  -178.7

 1300000000  0.897  -171.6   0.215    -5.7  0.0383   -73.3   0.924  -180.0

 1350000000  0.899  -173.2   0.199    -6.9  0.0367   -74.0   0.926   178.7

 1400000000  0.901  -174.7   0.188    -8.0  0.0353   -75.1   0.928   177.5

 1450000000  0.903  -176.2   0.178    -9.9  0.0338   -76.5   0.929   176.3

 1500000000  0.905  -177.6   0.166   -11.5  0.0322   -77.6   0.930   175.1

 1550000000  0.906  -179.0   0.155   -12.4  0.0306   -78.1   0.931   173.9

 1600000000  0.907   179.6   0.147   -12.3  0.0296   -78.3   0.932   172.8

 1650000000  0.908   178.3   0.143   -12.8  0.0288   -79.6   0.933   171.7

 1700000000  0.909   177.0   0.139   -14.9  0.0276   -81.5   0.934   170.6

 1750000000  0.910   175.7   0.132   -16.8  0.0260   -82.5   0.935   169.5

